id, name, release date, type, group, [contributing artist ids]
2DmWpbE4uEsL6Ubt4sQlv1,Psycho (Original Motion Picture Soundtrack),2008,Album,Album,[72578usTM6Cj5qWsi471Nc]
5AQS0VpeL4yjO3CvMJmvjf,Beesuva Gaali,2022-10-14,Album,Single,[6UofxciyC7eixN2leI5SKs,72578usTM6Cj5qWsi471Nc,5pDwaaFFLmBgmoz9kSZCWk]
1PLYkqMnVLZafDNHzi6BaC,Bhagavanta - Edm Version (From "Saddu! Vicharane Nadeyuttide"),2022-09-05,Album,Single,[72578usTM6Cj5qWsi471Nc,6RMeayRCB3tDcTdy9Z0q2o,6CdktQ3MYk5JwJHq1OajZG]
6zk3W1fBVjyWfknr3JbcjB,Bhagavanta (From "Saddu! Vicharane Nadeyuttide"),2022-08-28,Album,Single,[72578usTM6Cj5qWsi471Nc,6RMeayRCB3tDcTdy9Z0q2o,6CdktQ3MYk5JwJHq1OajZG]
5FQHTFLMG9DBfwPo0mHlU5,Modakke Modaane (From "Vikipedia"),2022-08-20,Album,Single,[72578usTM6Cj5qWsi471Nc,4LJV41FUqgFuISGn2yMNQf,072hm2tGA2geeswvhueVQe]
3LGAqN8PGy3qqslQJmBQhJ,Girki Title Track (From "Girki"),2022-07-13,Album,Single,[72578usTM6Cj5qWsi471Nc,4y7yOpyqmE7aXMngtperyb]
0kOau3mxNj9ywS1dCgsgiL,Sangeetha Sagara (From "Orchestra, Mysuru!"),2022-07-04,Album,Single,[72578usTM6Cj5qWsi471Nc,61if35zz1W11GejEkxTLEQ,0M0qOys6eONaDvSRKNwKWc]
3Ntkn8UlpdPrj1zw107ljx,Kshamisi Bidu Basavanna,2022-04-17,Album,Single,[72578usTM6Cj5qWsi471Nc]
6Yey2VzYYEbXqt6VRzMMZ2,Saniha Ni Saniha (From "Dwimukha"),2022-03-26,Album,Single,[72578usTM6Cj5qWsi471Nc,7MkiL8mmhZXoZpil9Webgt,5KgNFugdTwo3Ut6cO4rBKu]
6UU8BIKfVHGKvYni1BcfRH,Om Okarakam (From "Nata Bhayankara"),2022-03-25,Album,Single,[72578usTM6Cj5qWsi471Nc,3KDQtB2mJgwBNxpp6wv5PU]
5H8DLlxxjTJ0X7S4059yN8,Garuda (Original Motion Picture Soundtrack),2021-12-31,Album,Single,[72578usTM6Cj5qWsi471Nc]
